,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
57,74,Dirk Nowitzki,PF,38,26.4,5.5,12.6,0.43700000000000006,1.5,3.9,0.37799999999999995,4.0,8.7,0.46299999999999997,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,DAL,54,26.4,-0.38,0.64,0.26,3.02,12.4,96.06,23,25.0,2960.0,1564.0,500.5
58,76,Zach Randolph,PF,35,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,MEM,73,24.5,-0.37,-1.05,-1.42,1.83,15.2,94.36,38,10.36,528.5,47.0,18.5
59,77,Rudy Gobert,C,24,33.9,5.1,7.7,0.6609999999999999,0.0,0.0,0.0,5.1,7.7,0.662,0.6609999999999999,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0,UTAH,81,33.9,0.35,6.02,6.37,15.55,16.1,93.11,51,2.12,368.5,731.0,225.5
60,78,Al Horford,C,30,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2.0,0.8,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,BOS,68,32.3,0.76,1.06,1.82,6.93,12.5,98.96,46,26.54,870.0,136.0,71.0
61,79,Marcus Morris,SF,27,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.47700000000000004,1.8,2.3,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0,DET,79,32.5,-0.11,0.63,0.52,5.85,8.0,97.01,36,4.62,5.5,6.0,23.0
62,80,Markieff Morris,PF,27,31.2,5.3,11.7,0.457,0.9,2.6,0.36200000000000004,4.4,9.1,0.483,0.49700000000000005,2.4,2.8,0.8370000000000001,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0,WSH,76,31.2,-0.55,2.41,1.86,7.61,8.9,100.12,45,7.4,331.5,9.0,18.0
63,81,Jae Crowder,SF,26,32.4,4.6,10.0,0.46299999999999997,2.2,5.5,0.39799999999999996,2.4,4.5,0.54,0.5720000000000001,2.4,3.0,0.8109999999999999,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9,BOS,72,32.4,2.2,1.69,3.89,10.52,10.3,99.94,48,6.29,438.5,55.0,47.0
64,82,Kentavious Caldwell-Pope,SG,23,33.3,4.9,12.2,0.39899999999999997,2.0,5.8,0.35,2.9,6.5,0.442,0.48100000000000004,2.0,2.4,0.8320000000000001,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8,DET,76,33.3,0.71,-1.31,-0.6,4.02,7.8,97.61,33,3.68,223.5,9.0,10.0
65,83,Will Barton,SG,26,28.4,4.9,11.1,0.44299999999999995,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,DEN,60,28.4,0.05,-1.2,-1.15,2.2,10.2,100.14,31,3.53,190.0,1.0,3.0
66,85,Tyler Johnson,PG,24,29.8,4.9,11.3,0.433,1.3,3.4,0.37200000000000005,3.6,7.9,0.46,0.49,2.7,3.5,0.768,0.7,3.3,4.0,3.2,1.2,0.6,1.2,2.4,13.7,MIA,73,29.8,0.13,0.18,0.31,4.72,10.8,98.21,35,5.63,11.0,3.0,6.0
67,88,Dwight Howard,C,31,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,ATL,74,29.7,-1.7,2.6,0.9,5.65,15.1,99.8,37,23.18,2558.5,7.0,1.0
68,91,Darren Collison,PG,29,30.3,5.0,10.5,0.47600000000000003,1.1,2.6,0.41700000000000004,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,SAC,68,30.3,1.06,-1.47,-0.41,3.44,10.0,96.23,26,5.23,295.0,4.0,7.0
69,92,Julius Randle,PF,22,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,LAL,74,28.8,-0.79,-1.03,-1.82,1.83,11.3,100.9,24,3.27,519.0,102.0,59.0
70,93,Nick Young,SG,31,25.9,4.5,10.6,0.43,2.8,7.0,0.40399999999999997,1.7,3.5,0.48100000000000004,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2,LAL,60,25.9,2.28,-1.63,0.65,3.82,7.5,100.59,19,5.44,27.0,45.5,14.0
71,99,Elfrid Payton,PG,22,29.4,5.2,11.1,0.47100000000000003,0.5,1.8,0.27399999999999997,4.8,9.3,0.509,0.493,1.8,2.6,0.6920000000000001,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,ORL,82,29.4,1.12,-0.78,0.34,5.38,11.7,100.23,29,2.61,4.0,19.0,8.0
72,101,Aaron Gordon,SF,21,28.7,4.9,10.8,0.45399999999999996,1.0,3.3,0.28800000000000003,4.0,7.5,0.528,0.499,2.0,2.7,0.7190000000000001,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,ORL,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29,4.35,666.0,42.5,16.0
73,105,Pau Gasol,C,36,25.4,4.7,9.4,0.502,0.9,1.6,0.5379999999999999,3.9,7.8,0.494,0.5479999999999999,2.0,2.9,0.7070000000000001,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,SA,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47,15.5,1983.5,882.5,148.5
74,106,Jamal Crawford,SG,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3.0,6.7,0.44299999999999995,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,LAC,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51,13.25,1010.0,49.0,32.0
75,107,Austin Rivers,SG,24,27.8,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0,LAC,74,27.8,-0.17,-1.73,-1.9,1.62,6.9,98.18,43,11.0,525.0,75.5,23.0
76,108,Jonas Valanciunas,C,24,25.8,4.9,8.8,0.557,0.0,0.0,0.5,4.9,8.8,0.557,0.5579999999999999,2.2,2.7,0.8109999999999999,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0,TOR,80,25.8,-0.74,0.75,0.01,4.06,13.6,96.61,50,14.38,6.0,65.0,40.0
77,110,Trevor Ariza,SF,31,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,HOU,80,34.7,0.86,1.07,1.93,9.29,8.5,102.78,53,7.81,417.5,10.0,15.0
78,111,Frank Kaminsky,C,23,26.1,4.3,10.7,0.39899999999999997,1.5,4.7,0.32799999999999996,2.7,6.0,0.455,0.47100000000000003,1.6,2.1,0.7559999999999999,0.8,3.7,4.5,2.2,0.6,0.5,1.0,1.9,11.7,CHA,75,26.1,0.96,-0.51,0.45,4.4,8.5,98.15,31,2.73,517.0,112.5,29.0
